avg_orders,location,class,avg_delivery_time,overtime_rate,violation_pickup_rate,violation_delivery_rate,claim_rate,false_report_rate
39.63,Shanghai,Regular,1679.175651,0.020446097,0,0,0.00232342,0.000464684
38.91,Shanghai,Regular,1806.611278,0.073684211,0.003007519,0.00075188,0.017293233,0
10.43,Shanghai,Regular,1815.109589,0.054794521,0,0,0.01369863,0
21,Shanghai,Regular,1718.796364,0.036363636,0,0,0,0
33.63,Shanghai,Elite,1747.011665,0.018404908,0,0,0.000691264,0.000172816
69.67,Shanghai,Elite,1596.375772,0.011057391,4.48E-05,4.48E-05,0.000358134,0.000671501
21.38,Shanghai,Regular,1543.269006,0.040935673,0,0,0,0
17.41,Shanghai,Regular,1689.844846,0.012752391,0.002125399,0,0.003188098,0
9.5,Shanghai,Regular,1527.85,0.05,0,0.05,0.05,0
25.33,Shanghai,Regular,1818.695313,0.130208333,0.0078125,0,0.002604167,0
39.47,Shanghai,Regular,1422.387908,0.007490637,0.000133761,0,0,0.000267523
36.03,Shanghai,Regular,1749.886299,0.015699334,0.002854424,0.000475737,0.000475737,0.000475737
22.17,Shanghai,Regular,1908.286765,0.198529412,0,0,0.007352941,0
61.07,Shanghai,Regular,1486.586415,0.003478579,0.000183083,0,0,0.001464665
47.95,Shanghai,Elite,1669.814374,0.029016141,0.00076864,0.00019216,0.003074558,0
10,Shanghai,Regular,1507.966667,0.133333333,0,0,0,0
36.26,Shanghai,Regular,1542.565534,0.029935275,0,0.000809061,0.000809061,0
32.33,Shanghai,Regular,1890.734536,0.023195876,0,0,0,0
18,Shanghai,Regular,1527.907407,0.074074074,0,0,0,0
42.14,Shanghai,Regular,1544.508717,0.019639279,0.0001002,0,0.001503006,0
22.25,Shanghai,Regular,2093.725275,0.296703297,0,0.010989011,0,0
22.98,Shanghai,Regular,2035.82607,0.09949865,0.008484381,0.000771307,0,0.000385654
19.43,Shanghai,Regular,1535.813107,0.026699029,0,0,0.002427184,0
34.81,Shanghai,Regular,1842.980705,0.065868263,0.000665336,0.001330672,0.000665336,0.001330672
58.29,Shanghai,Regular,1463.575295,0.005901506,0,0,0,0.001628002
43.64,Shanghai,Regular,1763.410005,0.045676998,0,0,0.000543774,0.005437738
66.32,Shanghai,Elite,1413.162045,0.007562877,0.000117254,0.000996658,0.000351762,0.000234508
51.99,Shanghai,Regular,1584.567399,0.04291759,0.000201491,0.000201491,0.000201491,0.000201491
22.86,Shanghai,Regular,1679.53125,0.0875,0,0,0,0
42.08,Shanghai,Regular,1694.834244,0.016393443,0,0,0,0
29.66,Shanghai,Regular,1991.253199,0.09023569,0.002020202,0,0.000673401,0
25.12,Shanghai,Regular,1602.05198,0.042079208,0.004950495,0.002475248,0,0
37.88,Shanghai,Elite,1655.310664,0.032849125,0,0,0.000660284,0
51.26,Shanghai,Elite,1419.091157,0.006784155,7.80E-05,0,0,0.000545852
36.75,Shanghai,Regular,1687.444444,0.091304348,0.001449275,0,0.001449275,0.000483092
12.22,Shanghai,Regular,1689.918182,0.009090909,0,0,0,0.009090909
17.62,Shanghai,Regular,1807.054348,0.091304348,0,0.002173913,0.002173913,0
11,Shanghai,Regular,2230.727273,0.363636364,0,0,0,0
44.35,Shanghai,Regular,1737.199375,0.018735806,0.001135503,0.000189251,0.000473126,0.002838759
19.5,Shanghai,Regular,1503.846154,0.076923077,0,0,0,0
56.24,Shanghai,Elite,1483.986854,0.012790904,5.92E-05,0.000118434,0.00041452,0.000296086
34.77,Shanghai,Regular,1739.533527,0.026096412,0.000543675,0,0.000181225,0
30.81,Shanghai,Regular,1235.888717,0.00927357,0,0,0,0
17.67,Shanghai,Regular,1765.314815,0.314814815,0,0,0,0
30.13,Shanghai,Regular,1800.041121,0.028971963,0.000311526,0.000311526,0.000623053,0.001246106
54.3,Shanghai,Elite,1751.834783,0.013204509,0,0,0.000644122,0.000322061
22.5,Shanghai,Regular,1860.447514,0.066298343,0,0,0,0
6.5,Shanghai,Regular,1488,0.076923077,0,0,0,0
39.24,Shanghai,Regular,1652.058937,0.016178737,0.000385208,0,0.000385208,0.000385208
30.74,Shanghai,Regular,1875.205543,0.019245574,0,0,0.002309469,0
4,Shanghai,Regular,2290.111111,0.555555556,0,0,0.111111111,0
38.75,Shanghai,Regular,2104.251613,0.103225806,0,0,0,0
17.2,Shanghai,Regular,1775.353719,0.117355372,0,0,0,0
12.5,Shanghai,Regular,1917.84,0.16,0,0,0,0
15,Shanghai,Regular,2245.733333,0.333333333,0,0,0,0
23,Shanghai,Regular,1653.869565,0.043478261,0,0,0,0
64.55,Shanghai,Elite,1408.628365,0.00323067,0,0,0.000107689,0.000861512
21.33,Shanghai,Regular,1944.046875,0.125,0,0,0.03125,0
28.99,Shanghai,Elite,1445.401825,0.024741183,0,0.000526408,0.000526408,0.000701878
58.43,Shanghai,Elite,1729.314834,0.031055901,0.000161329,0.000241994,0.000725982,8.07E-05
17.25,Shanghai,Regular,1784.176301,0.014450867,0,0,0,0
21.91,Shanghai,Regular,1688.382034,0.032576505,0,0,0,0.0029615
8,Shanghai,Regular,2072.5625,0.25,0,0.0625,0,0
21.2,Shanghai,Regular,1871.754717,0.103773585,0,0,0,0
34.21,Shanghai,Regular,1672.211522,0.020794273,0,0,0.00034089,0
38.65,Shanghai,Regular,1598.548287,0.015508248,0,0,0.000281968,0.000422952
23.5,Shanghai,Regular,1504.074468,0.042553191,0,0,0,0
15,Shanghai,Regular,1526.133333,0,0,0,0,0
16,Shanghai,Regular,2164.25,0.4375,0,0,0,0
34.44,Shanghai,Regular,1524.124942,0.013519814,0,0,0,0.002331002
8.67,Shanghai,Regular,2441.851852,0.555555556,0,0,0,0
39.7,Shanghai,Regular,1765.301668,0.093210244,0.000595593,0.000297796,0.001488982,0
10,Shanghai,Regular,1604.4,0,0,0,0,0
38.65,Shanghai,Regular,1687.708596,0.055946647,0.000370508,0,0.000370508,0.000185254
32.66,Shanghai,Regular,1734.449629,0.023549935,0,0.00043611,0,0
19.54,Shanghai,Regular,1983.810078,0.30620155,0.007751938,0,0.001937984,0
27.7,Shanghai,Regular,1540.626566,0.004711019,0,0,0.000229806,0.000114903
32.38,Shanghai,Regular,1834.911197,0.092664093,0,0,0,0
38.16,Shanghai,Regular,1833.829678,0.022865142,0,0,0.000466636,0.002333178
21.2,Shanghai,Regular,1733.737705,0.058548009,0.00234192,0.004683841,0,0
32.1,Shanghai,Regular,1785.740385,0.117521368,0,0,0,0
19,Shanghai,Regular,1653.445026,0.073298429,0,0,0,0
49.41,Shanghai,Elite,1690.132885,0.007588484,0,0,0.000231709,0.000405492
39.52,Shanghai,Regular,1541.493603,0.013131313,0,0,0.001346801,0.003703704
32.78,Shanghai,Regular,1644.55279,0.027902003,0,0,0.000777756,0
32.81,Shanghai,Regular,1782.208754,0.105499439,0.007856341,0.001122334,0.005611672,0
19.28,Shanghai,Regular,1940.260077,0.151631478,0,0,0,0
23.75,Shanghai,Regular,2204.061856,0.154639175,0.010309278,0,0.020618557,0
30.49,Shanghai,Regular,1452.481206,0.007021892,0.000413052,0.000413052,0,0
57.47,Shanghai,Elite,1744.27269,0.021945272,0,0.001083717,0.001354646,0.000677323
23.65,Shanghai,Regular,1608.511579,0.117894737,0.008421053,0.002105263,0,0.002105263
41.81,Shanghai,Regular,1741.823422,0.009149131,0,0,0.000914913,0.001829826
53.26,Shanghai,Elite,1805.697403,0.023376623,0,0,0.001038961,0.00025974
40.12,Shanghai,Regular,1836.990654,0.079439252,0,0,0.001557632,0.001557632
21.25,Shanghai,Regular,1750.014019,0.045560748,0.001168224,0,0,0.004672897
43.32,Shanghai,Regular,1579.648769,0.028580869,0.000660829,0.000495622,0.00247811,0.002643317
46.78,Shanghai,Elite,1861.822756,0.077841063,0.000949281,0.000339029,0.001152699,0.000474641
42,Shanghai,Regular,1607.619048,0.011904762,0,0,0,0
40.8,Shanghai,Regular,1581.891234,0.074675325,0.001623377,0,0,0
40.72,Shanghai,Regular,1741.746612,0.033875339,0,0,0,0
